epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.898,1.06475,2.10507,1.3817,0.41968,0.32814,0.30347,0.18319,1.60139,2.27826,1.68511,0.000332905,0.000332905,0.000332905
2,452.11,1.13963,1.79779,1.4411,0.41949,0.34748,0.30771,0.18269,1.6409,2.26013,1.728,0.000653047,0.000653047,0.000653047
3,680.622,1.14159,1.77089,1.44698,0.46419,0.34154,0.32851,0.20128,1.62382,2.20587,1.72163,0.000959989,0.000959989,0.000959989
4,909.99,1.10209,1.68026,1.41647,0.4692,0.38347,0.37832,0.24701,1.49596,1.88741,1.58823,0.0009406,0.0009406,0.0009406
5,1139.08,1.05106,1.57314,1.37924,0.52361,0.40348,0.4203,0.27511,1.44857,1.82501,1.52871,0.0009208,0.0009208,0.0009208
6,1368.08,1.01948,1.49676,1.35675,0.56521,0.3993,0.42725,0.28071,1.41234,1.82751,1.50963,0.000901,0.000901,0.000901
7,1596.85,0.98859,1.40961,1.33492,0.57021,0.43093,0.45264,0.30607,1.39579,1.76291,1.50334,0.0008812,0.0008812,0.0008812
8,1825.34,0.96368,1.36353,1.31444,0.56306,0.45088,0.47206,0.31507,1.37351,1.64088,1.44208,0.0008614,0.0008614,0.0008614
9,2053.26,0.94556,1.32541,1.29901,0.58245,0.46216,0.48745,0.33331,1.34503,1.67723,1.43123,0.0008416,0.0008416,0.0008416
10,2281.43,0.9387,1.28009,1.2945,0.59058,0.47272,0.49817,0.34047,1.31608,1.56441,1.41404,0.0008218,0.0008218,0.0008218
11,2509.89,0.92609,1.26264,1.28434,0.54906,0.47271,0.47585,0.32462,1.30827,1.62334,1.40675,0.000802,0.000802,0.000802
12,2738.84,0.91159,1.21884,1.27347,0.60499,0.50003,0.53217,0.36446,1.29428,1.49642,1.40219,0.0007822,0.0007822,0.0007822
13,2967.72,0.89792,1.18685,1.26253,0.60831,0.48709,0.52292,0.36384,1.28779,1.57072,1.3918,0.0007624,0.0007624,0.0007624
14,3196.98,0.88407,1.16654,1.25452,0.65464,0.49767,0.55041,0.38732,1.25287,1.44345,1.35396,0.0007426,0.0007426,0.0007426
15,3425.76,0.87766,1.13957,1.24736,0.64565,0.4841,0.53552,0.37349,1.27209,1.47614,1.35925,0.0007228,0.0007228,0.0007228
16,3653.73,0.8696,1.1171,1.24346,0.65407,0.51042,0.5604,0.39483,1.25807,1.44665,1.35138,0.000703,0.000703,0.000703
17,3883.12,0.87447,1.09415,1.24213,0.67195,0.49802,0.55672,0.40042,1.22504,1.40362,1.33175,0.0006832,0.0006832,0.0006832
18,4112.14,0.85458,1.06764,1.22985,0.6433,0.52905,0.57441,0.40808,1.23222,1.40288,1.33357,0.0006634,0.0006634,0.0006634
19,4341.42,0.85281,1.05937,1.22761,0.68945,0.52327,0.57983,0.41318,1.22917,1.3735,1.32844,0.0006436,0.0006436,0.0006436
20,4570.37,0.84079,1.02638,1.2173,0.68812,0.51648,0.58895,0.41773,1.22033,1.39589,1.33304,0.0006238,0.0006238,0.0006238
21,4799.52,0.83628,1.01282,1.21772,0.70086,0.51409,0.58493,0.4191,1.22108,1.38553,1.3172,0.000604,0.000604,0.000604
22,5028.08,0.83145,1.00761,1.21228,0.70234,0.52933,0.59222,0.42753,1.21158,1.35587,1.31074,0.0005842,0.0005842,0.0005842
23,5256.42,0.81929,0.9759,1.20823,0.68651,0.5324,0.59803,0.4295,1.21078,1.35401,1.31497,0.0005644,0.0005644,0.0005644
24,5485.43,0.81805,0.95507,1.19944,0.70027,0.53484,0.59858,0.43359,1.20865,1.34075,1.31141,0.0005446,0.0005446,0.0005446
25,5714.48,0.809,0.94641,1.19619,0.67235,0.55093,0.60512,0.43581,1.19934,1.32546,1.29535,0.0005248,0.0005248,0.0005248
26,5944.22,0.80062,0.9253,1.18845,0.69889,0.53946,0.59944,0.43537,1.19833,1.34077,1.30111,0.000505,0.000505,0.000505
27,6173.79,0.80486,0.91401,1.19017,0.72071,0.54264,0.61553,0.44281,1.19348,1.29054,1.29384,0.0004852,0.0004852,0.0004852
28,6402.81,0.79101,0.88863,1.17806,0.70152,0.55938,0.61463,0.44613,1.18654,1.304,1.29167,0.0004654,0.0004654,0.0004654
