epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.548,1.04236,2.02209,1.38683,0.42648,0.30283,0.27121,0.15583,1.54799,2.24128,1.75691,0.000332884,0.000332884,0.000332884
2,456.788,1.1065,1.75194,1.43881,0.41315,0.31001,0.25724,0.15125,1.53679,2.38775,1.7205,0.000653026,0.000653026,0.000653026
3,681.06,1.10132,1.7076,1.44045,0.42275,0.31595,0.29616,0.17572,1.51468,2.24735,1.75292,0.000959969,0.000959969,0.000959969
4,906.106,1.0654,1.62896,1.41432,0.46114,0.33178,0.30828,0.18833,1.4472,2.10806,1.6646,0.0009406,0.0009406,0.0009406
5,1130.59,1.02593,1.54912,1.38447,0.55193,0.36949,0.38213,0.2472,1.3531,1.84625,1.55673,0.0009208,0.0009208,0.0009208
6,1353.91,0.99659,1.46615,1.35929,0.51779,0.4027,0.40706,0.26165,1.32676,1.79858,1.54468,0.000901,0.000901,0.000901
7,1577.06,0.97654,1.40792,1.34488,0.58076,0.40429,0.42926,0.27975,1.31098,1.71167,1.52684,0.0008812,0.0008812,0.0008812
8,1800.59,0.95106,1.35668,1.32614,0.57457,0.42584,0.4463,0.29233,1.27542,1.69156,1.48345,0.0008614,0.0008614,0.0008614
9,2024.82,0.92251,1.31366,1.30368,0.59663,0.42524,0.45683,0.29361,1.29408,1.69567,1.5057,0.0008416,0.0008416,0.0008416
10,2248.51,0.91471,1.27982,1.30265,0.642,0.41023,0.4676,0.31938,1.23762,1.62477,1.46525,0.0008218,0.0008218,0.0008218
11,2472.43,0.90805,1.23964,1.29209,0.65114,0.44139,0.49332,0.34245,1.21731,1.54922,1.43496,0.000802,0.000802,0.000802
12,2695.07,0.90436,1.22294,1.28381,0.62693,0.43363,0.46753,0.3212,1.21391,1.56184,1.43648,0.0007822,0.0007822,0.0007822
13,2918.9,0.88116,1.19327,1.27385,0.67353,0.44178,0.51158,0.34679,1.22244,1.48262,1.45125,0.0007624,0.0007624,0.0007624
14,3143.02,0.87663,1.15759,1.27054,0.67322,0.4486,0.50935,0.34518,1.21104,1.55289,1.43365,0.0007426,0.0007426,0.0007426
15,3365.53,0.86056,1.13049,1.25603,0.665,0.47659,0.53356,0.36984,1.17965,1.4209,1.39999,0.0007228,0.0007228,0.0007228
16,3589.1,0.86533,1.112,1.25464,0.6464,0.47019,0.51995,0.35728,1.19405,1.4352,1.40336,0.000703,0.000703,0.000703
17,3810.19,0.84988,1.09568,1.24821,0.67827,0.48568,0.55099,0.37553,1.1727,1.37254,1.39385,0.0006832,0.0006832,0.0006832
18,4031.49,0.83668,1.06564,1.23682,0.6964,0.47061,0.54037,0.3722,1.18372,1.44353,1.40607,0.0006634,0.0006634,0.0006634
19,4251.42,0.83631,1.05417,1.23713,0.67607,0.49727,0.55731,0.38979,1.15636,1.33105,1.37257,0.0006436,0.0006436,0.0006436
20,4470.73,0.82489,1.03574,1.23017,0.67789,0.4839,0.55157,0.3869,1.15887,1.36932,1.39015,0.0006238,0.0006238,0.0006238
21,4690.38,0.82644,1.02003,1.22822,0.71012,0.48213,0.56212,0.39354,1.15647,1.33467,1.37409,0.000604,0.000604,0.000604
22,4911.13,0.81911,0.99627,1.2187,0.70291,0.49444,0.56559,0.39831,1.14166,1.3177,1.36762,0.0005842,0.0005842,0.0005842
23,5132.05,0.81662,0.98792,1.22158,0.68894,0.50701,0.57485,0.40447,1.13842,1.31091,1.36467,0.0005644,0.0005644,0.0005644
24,5352.64,0.8125,0.96659,1.21408,0.70388,0.51345,0.58007,0.41032,1.13761,1.29055,1.36178,0.0005446,0.0005446,0.0005446
25,5572.12,0.79752,0.9418,1.2093,0.71909,0.50117,0.57587,0.40957,1.12259,1.30673,1.35461,0.0005248,0.0005248,0.0005248
26,5791.31,0.78311,0.92401,1.19998,0.71969,0.52297,0.59046,0.41759,1.13149,1.24852,1.35961,0.000505,0.000505,0.000505
27,6010.34,0.78472,0.91552,1.19925,0.71819,0.51787,0.58912,0.41859,1.12095,1.2607,1.34296,0.0004852,0.0004852,0.0004852
28,6230.04,0.77891,0.89764,1.18995,0.71132,0.52642,0.5937,0.41946,1.11935,1.24509,1.34364,0.0004654,0.0004654,0.0004654
29,6449.01,0.78267,0.89335,1.1967,0.7138,0.53418,0.6012,0.42638,1.11503,1.22434,1.34283,0.0004456,0.0004456,0.0004456
30,6668.23,0.76495,0.87527,1.18806,0.75299,0.51277,0.59508,0.42289,1.11095,1.24454,1.34379,0.0004258,0.0004258,0.0004258
31,6886.67,0.76054,0.85531,1.18436,0.73181,0.52345,0.59923,0.42635,1.10648,1.22543,1.3358,0.000406,0.000406,0.000406
32,7105.84,0.7636,0.85687,1.18049,0.74089,0.52117,0.60164,0.42874,1.11148,1.22669,1.34308,0.0003862,0.0003862,0.0003862
33,7325.98,0.7562,0.83188,1.17819,0.7288,0.53347,0.60967,0.43179,1.10741,1.20882,1.33898,0.0003664,0.0003664,0.0003664
34,7544.92,0.74008,0.82326,1.16802,0.72749,0.54392,0.61133,0.43665,1.09842,1.19569,1.32936,0.0003466,0.0003466,0.0003466
35,7764.12,0.74133,0.80395,1.1662,0.72575,0.5377,0.60528,0.43228,1.10212,1.20861,1.33733,0.0003268,0.0003268,0.0003268
36,7982.98,0.74072,0.80046,1.16535,0.72868,0.53868,0.61249,0.43794,1.09421,1.1759,1.32269,0.000307,0.000307,0.000307
37,8202.17,0.73634,0.78311,1.1578,0.737,0.5351,0.61243,0.43684,1.09499,1.18418,1.32258,0.0002872,0.0002872,0.0002872
38,8421.47,0.73229,0.77093,1.15597,0.73404,0.5445,0.61556,0.43981,1.09985,1.17392,1.32832,0.0002674,0.0002674,0.0002674
39,8640.98,0.72882,0.75932,1.15572,0.74945,0.53422,0.61282,0.44136,1.09614,1.19269,1.32953,0.0002476,0.0002476,0.0002476
40,8860.42,0.7126,0.74157,1.14708,0.75855,0.5371,0.61801,0.44494,1.09205,1.17885,1.32853,0.0002278,0.0002278,0.0002278
41,9078.68,0.68631,0.69819,1.13404,0.73779,0.54443,0.6159,0.44459,1.09291,1.17349,1.3211,0.000208,0.000208,0.000208
42,9296.38,0.67269,0.659,1.12186,0.73174,0.54998,0.61619,0.44624,1.08527,1.17375,1.32058,0.0001882,0.0001882,0.0001882
43,9514.66,0.66807,0.63987,1.11665,0.75345,0.54194,0.61662,0.44421,1.08648,1.17244,1.32204,0.0001684,0.0001684,0.0001684
44,9732.4,0.66084,0.63381,1.11479,0.75256,0.54389,0.616,0.44671,1.08284,1.16528,1.32259,0.0001486,0.0001486,0.0001486
45,9951.25,0.64609,0.60547,1.10287,0.75654,0.54213,0.61642,0.44622,1.08126,1.17076,1.3202,0.0001288,0.0001288,0.0001288
46,10171.4,0.64831,0.59641,1.10234,0.76205,0.54462,0.62164,0.44993,1.0842,1.16221,1.32315,0.000109,0.000109,0.000109
47,10394.7,0.64335,0.58693,1.09649,0.76674,0.54259,0.62063,0.45015,1.08178,1.16976,1.32043,8.92e-05,8.92e-05,8.92e-05
48,10618.1,0.62925,0.56786,1.0853,0.77407,0.53459,0.61887,0.44935,1.08259,1.17382,1.32035,6.94e-05,6.94e-05,6.94e-05
49,10841.8,0.63375,0.5656,1.09197,0.76905,0.53844,0.61749,0.44821,1.08012,1.17803,1.32186,4.96e-05,4.96e-05,4.96e-05
50,11065.9,0.6221,0.54885,1.07922,0.77077,0.53935,0.61659,0.44809,1.0789,1.18195,1.32128,2.98e-05,2.98e-05,2.98e-05
