epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,496.105,1.20032,2.00899,1.35658,0.39287,0.31404,0.26238,0.16217,1.43441,2.41145,1.61161,0.00999128,0.00333043,0.00999128,0.00333043,0.00999128,0.00333043,0.00999128,0.00333043
2,925.241,1.22632,1.56227,1.35607,0.49302,0.34502,0.34271,0.2072,1.42394,2.06145,1.62812,0.0195955,0.00653182,0.0195955,0.00653182,0.0195955,0.00653182,0.0195955,0.00653182
3,1331,1.32199,1.72833,1.42821,0.42553,0.29297,0.25907,0.1457,1.58713,2.47425,1.80599,0.0288036,0.00960121,0.0288036,0.00960121,0.0288036,0.00960121,0.0288036,0.00960121
4,1727.47,1.36364,1.80397,1.46881,0.45522,0.30351,0.30088,0.1815,1.50833,2.26219,1.73203,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2124.35,1.30458,1.67026,1.42866,0.54128,0.36673,0.39211,0.2472,1.38542,1.86785,1.59754,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2522.15,1.2676,1.57345,1.40196,0.53836,0.38645,0.39346,0.24578,1.35017,1.89383,1.57977,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2919.74,1.22366,1.4856,1.36781,0.52441,0.38288,0.37914,0.2421,1.35012,1.93228,1.55761,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3318.15,1.2007,1.43494,1.35506,0.63058,0.41352,0.45895,0.29892,1.28326,1.70729,1.50312,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3715.91,1.17691,1.37774,1.33522,0.61063,0.427,0.47527,0.3238,1.24464,1.67325,1.47131,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4113.64,1.15907,1.33508,1.32315,0.62646,0.43655,0.48655,0.33267,1.2503,1.61711,1.47323,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4511.36,1.13932,1.29736,1.31311,0.62139,0.43821,0.48793,0.33677,1.21972,1.59836,1.44642,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4908.79,1.1277,1.25305,1.29546,0.66405,0.47135,0.52759,0.35682,1.21919,1.52234,1.42346,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5306.7,1.11719,1.23728,1.29003,0.66665,0.46254,0.52735,0.36113,1.20572,1.53051,1.42455,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5703.13,1.10973,1.21591,1.28622,0.69434,0.4567,0.52658,0.37204,1.17559,1.52158,1.41096,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6098.94,1.10054,1.18109,1.2772,0.65792,0.48448,0.54089,0.3708,1.20161,1.44225,1.41915,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6496.69,1.08665,1.16085,1.27015,0.70286,0.46046,0.53832,0.3816,1.16622,1.50053,1.38791,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6894.5,1.09034,1.14325,1.26455,0.67617,0.50401,0.56412,0.3905,1.16985,1.40106,1.38785,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7291.62,1.07068,1.11196,1.25575,0.70594,0.48157,0.55981,0.39378,1.15326,1.39493,1.37271,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7688.16,1.06945,1.0982,1.25299,0.69222,0.49729,0.56456,0.39848,1.14285,1.40142,1.36577,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8084.6,1.05752,1.07266,1.2434,0.72557,0.49856,0.57761,0.40717,1.13705,1.36594,1.36108,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8481.34,1.05152,1.05697,1.23644,0.72416,0.51283,0.58749,0.41554,1.13579,1.36698,1.358,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8878.83,1.0429,1.04426,1.23401,0.72155,0.51837,0.588,0.42097,1.12415,1.36314,1.35015,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,9275.87,1.03983,1.02658,1.22827,0.73659,0.50964,0.59231,0.42295,1.12936,1.34565,1.35966,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9673.84,1.02995,1.01541,1.2246,0.72603,0.51101,0.58628,0.42228,1.11479,1.35355,1.34185,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,10070.3,1.02559,0.99369,1.21463,0.73359,0.51882,0.59704,0.42772,1.11921,1.33481,1.34945,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10466.6,1.018,0.978,1.21255,0.72463,0.52567,0.59928,0.42803,1.11218,1.33655,1.33761,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10862.5,1.00612,0.96675,1.20708,0.74357,0.53026,0.60811,0.43816,1.10773,1.29352,1.33753,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,11259.3,1.0066,0.95399,1.20553,0.73388,0.53451,0.60988,0.43958,1.10237,1.29208,1.32943,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11656.3,0.99622,0.93241,1.19579,0.74,0.5352,0.61113,0.4397,1.10312,1.28972,1.32749,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,12052.8,0.99319,0.92269,1.19255,0.75532,0.52611,0.61417,0.4431,1.09907,1.28906,1.32994,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,12448.7,0.9901,0.91617,1.19002,0.74609,0.53038,0.61094,0.44231,1.10235,1.30462,1.32686,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,12844.8,0.97442,0.88745,1.1793,0.74517,0.54598,0.62056,0.44826,1.08868,1.28183,1.32048,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,13241.8,0.9766,0.88474,1.18051,0.76896,0.53241,0.61895,0.45052,1.08918,1.2821,1.31407,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13639.2,0.9579,0.8579,1.17046,0.74056,0.54403,0.62008,0.45087,1.08765,1.28135,1.31322,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,14035.8,0.95366,0.84825,1.17145,0.74464,0.55494,0.62225,0.45457,1.08403,1.2928,1.31252,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,14433,0.95922,0.83826,1.1648,0.7448,0.55579,0.62714,0.4579,1.08715,1.25816,1.3109,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,14829.4,0.94884,0.82861,1.15951,0.75573,0.54666,0.62971,0.46,1.08801,1.25038,1.31434,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,15225.8,0.94081,0.81085,1.15212,0.75756,0.54487,0.62318,0.45622,1.08763,1.269,1.31161,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,15622.2,0.93868,0.79691,1.15081,0.76312,0.54122,0.62309,0.45616,1.08484,1.26581,1.30873,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,16018.6,0.93155,0.79656,1.14929,0.77876,0.53831,0.62506,0.45796,1.0864,1.26613,1.3105,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16415,0.95515,0.76209,1.14048,0.7556,0.54982,0.62413,0.45882,1.08336,1.26236,1.30584,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16810.1,0.93669,0.72857,1.12765,0.77675,0.53773,0.62203,0.4571,1.08143,1.27507,1.30698,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,17204.2,0.92145,0.70597,1.12098,0.75933,0.54728,0.62108,0.45679,1.07819,1.28135,1.30497,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17598.5,0.91068,0.68401,1.11242,0.7623,0.54559,0.62154,0.45754,1.07919,1.28536,1.30589,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17993.6,0.90278,0.67277,1.10415,0.75793,0.54777,0.62235,0.45753,1.08073,1.28176,1.30672,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18390.2,0.89315,0.65541,1.10227,0.77386,0.53917,0.62132,0.45716,1.08199,1.28541,1.30853,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18787.6,0.88836,0.64713,1.09676,0.782,0.53494,0.62122,0.4573,1.08207,1.2825,1.30867,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,19184.5,0.88301,0.6308,1.09034,0.77915,0.53636,0.62074,0.45688,1.0826,1.28309,1.30931,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19581.2,0.87281,0.62066,1.08561,0.77451,0.53975,0.62056,0.45728,1.08452,1.28516,1.31118,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19976.4,0.86506,0.61109,1.08265,0.77744,0.5362,0.61968,0.45631,1.08577,1.28889,1.31274,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
