epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,376.82,1.22367,1.99918,1.41375,0.41237,0.34895,0.30942,0.18557,1.41191,2.07852,1.60452,0.00998756,0.00332919,0.00998756,0.00332919,0.00998756,0.00332919,0.00998756,0.00332919
2,700.828,1.22372,1.55515,1.39697,0.43784,0.34015,0.32521,0.18408,1.4748,2.05161,1.65124,0.0195918,0.0065306,0.0195918,0.0065306,0.0195918,0.0065306,0.0195918,0.0065306
3,1003.63,1.3156,1.71962,1.48568,0.36028,0.3064,0.25722,0.14315,1.56757,2.35782,1.7872,0.0288001,0.00960002,0.0288001,0.00960002,0.0288001,0.00960002,0.0288001,0.00960002
4,1299.6,1.35778,1.80203,1.52505,0.41929,0.33447,0.3016,0.18132,1.44516,2.12981,1.66314,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1596.07,1.31585,1.68768,1.4907,0.52605,0.40316,0.40726,0.25147,1.36558,1.76867,1.57967,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1892.43,1.28005,1.59601,1.46714,0.55693,0.41597,0.44248,0.27311,1.32529,1.74074,1.54469,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2191.85,1.24494,1.54062,1.44582,0.56155,0.43985,0.47482,0.30178,1.28676,1.66553,1.50003,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2491.66,1.22301,1.46047,1.42261,0.58137,0.44003,0.46313,0.3019,1.26217,1.75322,1.47639,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2790.19,1.20165,1.42025,1.40792,0.61676,0.44593,0.49167,0.31604,1.25678,1.55534,1.46876,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3087.33,1.20668,1.3816,1.40023,0.58661,0.49176,0.52136,0.33557,1.22726,1.46878,1.43948,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3383.48,1.18363,1.33769,1.38876,0.61904,0.47697,0.53181,0.35511,1.19264,1.4119,1.41338,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3678.11,1.15914,1.31009,1.3722,0.63757,0.51054,0.55464,0.36768,1.20093,1.38248,1.41519,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3973.57,1.15931,1.2832,1.37067,0.64305,0.49184,0.54792,0.36808,1.186,1.37278,1.40033,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4270,1.12451,1.25249,1.35283,0.66362,0.50651,0.56425,0.38333,1.16192,1.32074,1.37541,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4575.23,1.1314,1.23088,1.35258,0.66467,0.51022,0.57424,0.38764,1.16704,1.32226,1.37513,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4870.27,1.11441,1.21296,1.34286,0.66023,0.53064,0.58851,0.40422,1.14436,1.25258,1.36975,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5164.5,1.12017,1.19002,1.33929,0.68904,0.53345,0.60186,0.40875,1.14245,1.2357,1.3549,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5460.69,1.10208,1.15754,1.32497,0.69861,0.53463,0.6121,0.41948,1.12667,1.18891,1.3483,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
