epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.058,1.07176,4.1292,1.38245,0.42208,0.38701,0.34594,0.19695,1.55809,4.16276,1.65844,0.000332905,0.000332905,0.000332905
2,281.662,1.12743,3.37992,1.43328,0.46472,0.35985,0.35051,0.20987,1.56018,4.0479,1.64359,0.000653047,0.000653047,0.000653047
3,415.734,1.12289,3.28868,1.43745,0.48746,0.38093,0.36047,0.22055,1.56387,3.97674,1.64068,0.000959989,0.000959989,0.000959989
4,548.577,1.08203,3.08948,1.39793,0.54343,0.41042,0.4193,0.26993,1.46105,3.59201,1.5711,0.0009406,0.0009406,0.0009406
5,681.315,1.04975,2.88832,1.3781,0.5387,0.43037,0.44677,0.28774,1.45995,3.45676,1.54918,0.0009208,0.0009208,0.0009208
6,813.892,1.02113,2.78602,1.35504,0.57905,0.43977,0.46453,0.30199,1.43144,3.39748,1.5188,0.000901,0.000901,0.000901
7,946.72,0.99363,2.65203,1.33451,0.57658,0.41715,0.44442,0.29857,1.429,3.53326,1.51389,0.0008812,0.0008812,0.0008812
8,1079.49,0.96254,2.51636,1.3134,0.59922,0.47405,0.50186,0.33513,1.37377,3.15904,1.4684,0.0008614,0.0008614,0.0008614
9,1212.04,0.95281,2.46241,1.30423,0.64103,0.45536,0.51431,0.35024,1.35819,3.14508,1.44079,0.0008416,0.0008416,0.0008416
10,1344.72,0.93532,2.37953,1.29244,0.58844,0.47224,0.49663,0.32947,1.38132,3.2343,1.46495,0.0008218,0.0008218,0.0008218
11,1477.17,0.92832,2.3212,1.28174,0.61227,0.48889,0.52693,0.36166,1.33749,3.09818,1.41795,0.000802,0.000802,0.000802
12,1609.65,0.91491,2.2737,1.27503,0.64634,0.4748,0.5224,0.35886,1.31363,3.11776,1.40892,0.0007822,0.0007822,0.0007822
13,1742.21,0.89596,2.19015,1.26553,0.66468,0.48327,0.54576,0.37778,1.31605,3.0168,1.40712,0.0007624,0.0007624,0.0007624
14,1874.62,0.90221,2.16734,1.26278,0.6832,0.51306,0.57373,0.39945,1.28472,2.9152,1.3751,0.0007426,0.0007426,0.0007426
15,2007.04,0.89074,2.11578,1.25504,0.66328,0.50842,0.56938,0.39585,1.28423,2.89819,1.38644,0.0007228,0.0007228,0.0007228
16,2139.54,0.8758,2.08462,1.24393,0.67459,0.50094,0.56702,0.39864,1.25901,2.85637,1.36273,0.000703,0.000703,0.000703
17,2272.33,0.86955,2.01252,1.23657,0.66322,0.5059,0.56866,0.39858,1.26411,2.85323,1.36453,0.0006832,0.0006832,0.0006832
18,2406.07,0.87563,1.99226,1.23444,0.66591,0.52557,0.57711,0.40853,1.27716,2.85776,1.3728,0.0006634,0.0006634,0.0006634
19,2540.11,0.8443,1.9104,1.22256,0.7069,0.52677,0.59033,0.41601,1.2591,2.72595,1.36045,0.0006436,0.0006436,0.0006436
20,2673.26,0.84522,1.90415,1.21672,0.70872,0.51976,0.58528,0.41593,1.2635,2.86059,1.35983,0.0006238,0.0006238,0.0006238
21,2806.27,0.84798,1.86612,1.21705,0.68687,0.54586,0.60327,0.42624,1.25332,2.67353,1.34766,0.000604,0.000604,0.000604
22,2939.73,0.8322,1.84793,1.20766,0.69734,0.52703,0.5918,0.42139,1.25746,2.74012,1.34918,0.0005842,0.0005842,0.0005842
23,3075.13,0.8336,1.80655,1.20701,0.6995,0.5425,0.60189,0.4309,1.22839,2.71822,1.33372,0.0005644,0.0005644,0.0005644
24,3209.57,0.82495,1.76244,1.20107,0.72018,0.53196,0.60641,0.43525,1.23922,2.67401,1.33592,0.0005446,0.0005446,0.0005446
25,3343.02,0.81032,1.72232,1.18921,0.74086,0.53337,0.61643,0.43818,1.23482,2.63473,1.33702,0.0005248,0.0005248,0.0005248
26,3475.65,0.80997,1.7167,1.19374,0.71278,0.54533,0.6117,0.43938,1.2162,2.63122,1.3135,0.000505,0.000505,0.000505
27,3609.53,0.80516,1.67782,1.18588,0.75472,0.54052,0.62588,0.45097,1.2117,2.60137,1.31954,0.0004852,0.0004852,0.0004852
28,3742.42,0.79838,1.6434,1.1841,0.73028,0.55995,0.62219,0.44609,1.21082,2.58272,1.3182,0.0004654,0.0004654,0.0004654
29,3876.11,0.78779,1.61304,1.17404,0.76677,0.54166,0.62256,0.4505,1.20557,2.58687,1.30084,0.0004456,0.0004456,0.0004456
30,4009.79,0.78866,1.59291,1.17637,0.71304,0.56215,0.61681,0.44808,1.2015,2.5968,1.30452,0.0004258,0.0004258,0.0004258
31,4144.71,0.78917,1.58891,1.17492,0.75045,0.54425,0.62436,0.45289,1.20358,2.56161,1.30606,0.000406,0.000406,0.000406
32,4277.28,0.77498,1.54404,1.16722,0.7568,0.55312,0.63599,0.46147,1.20106,2.52399,1.30201,0.0003862,0.0003862,0.0003862
33,4411.87,0.77507,1.53197,1.16637,0.72318,0.56432,0.62828,0.45691,1.20344,2.52313,1.29885,0.0003664,0.0003664,0.0003664
34,4545.03,0.76548,1.49821,1.15904,0.74176,0.55776,0.62527,0.45379,1.20422,2.57762,1.29809,0.0003466,0.0003466,0.0003466
35,4677.65,0.76347,1.46461,1.15436,0.72147,0.57591,0.62978,0.45799,1.20166,2.55543,1.30184,0.0003268,0.0003268,0.0003268
36,4810.2,0.76639,1.46675,1.15632,0.7236,0.57971,0.6374,0.46365,1.1956,2.51596,1.29657,0.000307,0.000307,0.000307
37,4943.11,0.75012,1.41501,1.14126,0.74033,0.57402,0.63762,0.46477,1.18946,2.52216,1.28671,0.0002872,0.0002872,0.0002872
38,5075.69,0.7458,1.40122,1.14244,0.74979,0.57188,0.63891,0.46652,1.19211,2.52855,1.29004,0.0002674,0.0002674,0.0002674
39,5208.19,0.7389,1.36688,1.1392,0.74002,0.57245,0.6354,0.46676,1.191,2.56106,1.29114,0.0002476,0.0002476,0.0002476
40,5341.26,0.74403,1.37175,1.13878,0.74615,0.57535,0.63557,0.46854,1.18443,2.54353,1.2816,0.0002278,0.0002278,0.0002278
41,5475.9,0.73236,1.28438,1.13117,0.7526,0.5743,0.64206,0.47012,1.18172,2.50993,1.27747,0.000208,0.000208,0.000208
42,5608.19,0.7157,1.20581,1.11469,0.76492,0.56637,0.63873,0.47128,1.18013,2.53881,1.27599,0.0001882,0.0001882,0.0001882
43,5740.11,0.70832,1.17284,1.11053,0.75365,0.56741,0.63682,0.46946,1.17944,2.51744,1.28058,0.0001684,0.0001684,0.0001684
44,5872.28,0.70045,1.13555,1.0992,0.72682,0.57898,0.6365,0.46925,1.18364,2.55073,1.27853,0.0001486,0.0001486,0.0001486
45,6004.39,0.68918,1.10279,1.08964,0.74963,0.57473,0.64075,0.4742,1.178,2.53448,1.27598,0.0001288,0.0001288,0.0001288
46,6136.47,0.68561,1.08103,1.09018,0.7421,0.57557,0.63821,0.47211,1.18091,2.56691,1.2819,0.000109,0.000109,0.000109
47,6268.92,0.67854,1.06841,1.08965,0.72657,0.58725,0.63865,0.47189,1.18062,2.56164,1.28175,8.92e-05,8.92e-05,8.92e-05
