epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.053,1.24618,2.64274,1.63599,0.38007,0.2623,0.22038,0.11478,1.82508,2.77359,2.00884,0.000332905,0.000332905,0.000332905
2,611.115,1.23825,1.91487,1.65628,0.38432,0.30945,0.26452,0.14102,1.73667,2.32666,1.94547,0.000653047,0.000653047,0.000653047
3,913.006,1.22152,1.84971,1.64946,0.42314,0.36541,0.32112,0.17815,1.68672,2.2993,1.90308,0.000959989,0.000959989,0.000959989
4,1213.92,1.16684,1.75106,1.59578,0.47153,0.36296,0.35319,0.19795,1.66019,2.18278,1.89611,0.0009406,0.0009406,0.0009406
5,1514.73,1.11801,1.62897,1.55514,0.50257,0.39873,0.40408,0.23918,1.52743,1.93691,1.73842,0.0009208,0.0009208,0.0009208
6,1815.67,1.08744,1.55844,1.52543,0.51518,0.39935,0.40595,0.24636,1.51557,1.98999,1.74673,0.000901,0.000901,0.000901
7,2116.54,1.05521,1.49983,1.49656,0.51874,0.42033,0.42928,0.26983,1.48599,1.90963,1.73862,0.0008812,0.0008812,0.0008812
8,2417.22,1.01957,1.41371,1.47252,0.60065,0.42632,0.46985,0.3002,1.44684,1.78332,1.68945,0.0008614,0.0008614,0.0008614
9,2718.15,1.00649,1.38341,1.46183,0.59522,0.43421,0.46419,0.29608,1.42893,1.79204,1.70459,0.0008416,0.0008416,0.0008416
10,3018.52,0.97848,1.32396,1.4409,0.56116,0.44741,0.47123,0.30831,1.40946,1.78718,1.67934,0.0008218,0.0008218,0.0008218
11,3318.88,0.97406,1.3045,1.42876,0.58484,0.4503,0.48163,0.31702,1.38385,1.74599,1.64013,0.000802,0.000802,0.000802
12,3619.55,0.95628,1.27831,1.41781,0.60579,0.48425,0.51576,0.34535,1.35007,1.64997,1.60198,0.0007822,0.0007822,0.0007822
13,3919.93,0.9353,1.22738,1.40153,0.60992,0.47884,0.51448,0.34752,1.35354,1.66742,1.59683,0.0007624,0.0007624,0.0007624
14,4220.62,0.9358,1.20749,1.39544,0.61725,0.48984,0.53101,0.35867,1.34736,1.61149,1.60566,0.0007426,0.0007426,0.0007426
15,4521.42,0.92757,1.18913,1.38798,0.63675,0.48158,0.52547,0.35376,1.3248,1.60967,1.57208,0.0007228,0.0007228,0.0007228
16,4822.51,0.90848,1.16205,1.37214,0.66445,0.4733,0.5403,0.36456,1.318,1.59446,1.56646,0.000703,0.000703,0.000703
17,5123.06,0.90372,1.12795,1.36415,0.64155,0.48678,0.54296,0.3726,1.28539,1.55104,1.53387,0.0006832,0.0006832,0.0006832
18,5423.76,0.90495,1.10271,1.35664,0.66439,0.48795,0.54758,0.37571,1.30022,1.5555,1.54356,0.0006634,0.0006634,0.0006634
19,5724.35,0.87275,1.06962,1.34449,0.67593,0.49193,0.55628,0.38232,1.29727,1.53375,1.54435,0.0006436,0.0006436,0.0006436
20,6024.52,0.86806,1.06707,1.33093,0.63206,0.51412,0.55894,0.3865,1.27379,1.53309,1.52262,0.0006238,0.0006238,0.0006238
21,6324.76,0.8669,1.0446,1.3271,0.65515,0.52244,0.57404,0.39769,1.27461,1.53718,1.51359,0.000604,0.000604,0.000604
22,6625.04,0.85524,1.02964,1.32248,0.70187,0.50057,0.57862,0.4057,1.27359,1.49267,1.51371,0.0005842,0.0005842,0.0005842
23,6925.76,0.85633,1.00894,1.31741,0.71285,0.50268,0.58021,0.40702,1.25905,1.47126,1.51228,0.0005644,0.0005644,0.0005644
24,7226.21,0.8415,0.98813,1.30668,0.67499,0.51956,0.5801,0.40884,1.25618,1.51628,1.49916,0.0005446,0.0005446,0.0005446
25,7526.59,0.83161,0.96306,1.29621,0.67038,0.53372,0.58976,0.41618,1.25088,1.45583,1.48989,0.0005248,0.0005248,0.0005248
26,7826.9,0.83197,0.96526,1.29893,0.69499,0.52471,0.59322,0.4178,1.24149,1.46504,1.48847,0.000505,0.000505,0.000505
27,8126.98,0.81866,0.93321,1.28445,0.72499,0.51981,0.59574,0.41991,1.24107,1.43225,1.48123,0.0004852,0.0004852,0.0004852
28,8426.99,0.81837,0.92182,1.28746,0.70454,0.52633,0.59665,0.42227,1.24842,1.44097,1.47958,0.0004654,0.0004654,0.0004654
29,8727.43,0.8021,0.89467,1.27257,0.72018,0.53269,0.6097,0.43055,1.24315,1.41105,1.47752,0.0004456,0.0004456,0.0004456
30,9028.02,0.80641,0.89233,1.27427,0.71855,0.53517,0.6054,0.43215,1.23497,1.40299,1.46792,0.0004258,0.0004258,0.0004258
31,9328.78,0.80046,0.88245,1.26688,0.71308,0.54478,0.61105,0.4338,1.2244,1.41652,1.46377,0.000406,0.000406,0.000406
32,9629.18,0.78864,0.85861,1.25915,0.70604,0.55019,0.6139,0.4381,1.22217,1.41177,1.4576,0.0003862,0.0003862,0.0003862
33,9930.34,0.78643,0.84827,1.2578,0.70426,0.55255,0.61856,0.44116,1.22528,1.38515,1.45869,0.0003664,0.0003664,0.0003664
34,10231.1,0.77467,0.83465,1.24596,0.71145,0.55301,0.6164,0.44074,1.22187,1.41112,1.46021,0.0003466,0.0003466,0.0003466
35,10531.5,0.77705,0.82168,1.24459,0.74707,0.52608,0.61459,0.44331,1.21698,1.4009,1.45898,0.0003268,0.0003268,0.0003268
36,10831.9,0.77252,0.81624,1.24557,0.73353,0.54894,0.62328,0.44875,1.2148,1.4042,1.4568,0.000307,0.000307,0.000307
37,11132.4,0.75668,0.77963,1.22653,0.71569,0.55586,0.62512,0.44915,1.20967,1.38014,1.44627,0.0002872,0.0002872,0.0002872
38,11432.9,0.75262,0.77026,1.22871,0.71013,0.55875,0.62381,0.44611,1.22036,1.38762,1.45566,0.0002674,0.0002674,0.0002674
39,11733.2,0.74627,0.75274,1.22337,0.71339,0.56226,0.62546,0.45097,1.22184,1.38677,1.45939,0.0002476,0.0002476,0.0002476
40,12033.7,0.74816,0.75731,1.22274,0.70534,0.56199,0.62173,0.44841,1.21594,1.40508,1.45445,0.0002278,0.0002278,0.0002278
41,12336,0.77436,0.75698,1.20003,0.75025,0.54437,0.62713,0.45058,1.20779,1.3839,1.44044,0.000208,0.000208,0.000208
42,12635.6,0.75273,0.71098,1.18039,0.76691,0.52765,0.62355,0.45049,1.20704,1.4065,1.44503,0.0001882,0.0001882,0.0001882
43,12935,0.74512,0.69326,1.17815,0.73602,0.54506,0.6214,0.45024,1.20785,1.40093,1.4462,0.0001684,0.0001684,0.0001684
44,13234.4,0.73073,0.6653,1.15908,0.71858,0.55559,0.62164,0.4514,1.20779,1.40964,1.44424,0.0001486,0.0001486,0.0001486
45,13533.5,0.72183,0.65254,1.1467,0.73303,0.55226,0.62504,0.45294,1.20151,1.40709,1.4424,0.0001288,0.0001288,0.0001288
46,13832.6,0.71237,0.63216,1.14203,0.75322,0.54089,0.61995,0.45146,1.20623,1.41214,1.44521,0.000109,0.000109,0.000109
47,14131.7,0.70925,0.63024,1.14342,0.70649,0.56258,0.6192,0.45157,1.20722,1.41473,1.44658,8.92e-05,8.92e-05,8.92e-05
48,14430.6,0.70421,0.616,1.1368,0.73764,0.55209,0.61979,0.45258,1.20679,1.42106,1.44702,6.94e-05,6.94e-05,6.94e-05
49,14729.6,0.6958,0.60134,1.12917,0.72876,0.55809,0.621,0.45331,1.20756,1.41906,1.44787,4.96e-05,4.96e-05,4.96e-05
50,15028.8,0.69426,0.59536,1.12493,0.72725,0.55876,0.62095,0.45329,1.20621,1.42368,1.44619,2.98e-05,2.98e-05,2.98e-05
