epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.925,1.02415,2.0169,1.34646,0.37617,0.33219,0.29294,0.17457,1.52912,2.19026,1.626,0.00665811,0.00665811,0.0733676
2,277.558,1.08335,1.6453,1.38833,0.38152,0.35226,0.28519,0.16639,1.62816,2.19878,1.68625,0.0130609,0.0130609,0.0464371
3,409.991,1.21571,1.86233,1.496,0.34172,0.309,0.26424,0.15027,1.78236,2.33626,1.8406,0.0191998,0.0191998,0.0192426
4,541.609,1.25295,1.90675,1.52284,0.42524,0.32901,0.31049,0.18862,1.67213,2.1947,1.782,0.018812,0.018812,0.018812
5,672.889,1.1762,1.7281,1.46863,0.51665,0.3793,0.37711,0.23585,1.55279,1.98445,1.64223,0.018416,0.018416,0.018416
6,803.986,1.12835,1.64108,1.43648,0.45822,0.36909,0.33754,0.21139,1.55996,2.08209,1.6782,0.01802,0.01802,0.01802
7,936.632,1.09074,1.56749,1.4058,0.4807,0.39834,0.39485,0.2632,1.47252,1.85241,1.57587,0.017624,0.017624,0.017624
8,1068.13,1.05227,1.47594,1.3769,0.57355,0.42243,0.45109,0.2984,1.44073,1.68795,1.52438,0.017228,0.017228,0.017228
9,1199.34,1.03104,1.43625,1.36205,0.58301,0.42339,0.45658,0.30793,1.44597,1.72362,1.53164,0.016832,0.016832,0.016832
10,1330.28,1.00689,1.37933,1.34109,0.57258,0.43653,0.46681,0.31428,1.38487,1.65569,1.48387,0.016436,0.016436,0.016436
11,1461.31,0.99572,1.34513,1.32952,0.57081,0.44219,0.47043,0.32322,1.3817,1.66517,1.45916,0.01604,0.01604,0.01604
12,1593.42,0.97715,1.31771,1.31833,0.61217,0.45679,0.473,0.32128,1.37168,1.68772,1.45073,0.015644,0.015644,0.015644
13,1724.29,0.95806,1.26579,1.31155,0.64191,0.44622,0.49837,0.33841,1.36421,1.58674,1.45246,0.015248,0.015248,0.015248
14,1855.95,0.95447,1.25884,1.29927,0.61942,0.45268,0.50487,0.34652,1.34592,1.6028,1.44172,0.014852,0.014852,0.014852
15,1987.13,0.94571,1.22717,1.2963,0.62701,0.48492,0.5241,0.35797,1.32355,1.52948,1.42752,0.014456,0.014456,0.014456
16,2118.15,0.93066,1.20763,1.28273,0.63389,0.47124,0.52668,0.36787,1.29908,1.51047,1.39626,0.01406,0.01406,0.01406
17,2249.33,0.92277,1.16952,1.27184,0.64181,0.47581,0.52312,0.36235,1.31485,1.52474,1.41618,0.013664,0.013664,0.013664
18,2380.73,0.92807,1.1517,1.27206,0.65733,0.46741,0.52577,0.36874,1.30567,1.53079,1.40826,0.013268,0.013268,0.013268
19,2512.18,0.89086,1.11625,1.25507,0.6866,0.48167,0.54527,0.38568,1.27386,1.42809,1.37852,0.012872,0.012872,0.012872
