epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.433,1.14024,2.4876,1.45944,0.397,0.33539,0.30885,0.18711,1.57752,2.23796,1.63052,0.000332905,0.000332905,0.000332905
2,270.992,1.23298,1.99679,1.55442,0.42974,0.33678,0.31074,0.19024,1.63677,2.20734,1.70855,0.000653047,0.000653047,0.000653047
3,401.249,1.21738,1.92984,1.54485,0.44508,0.35337,0.34047,0.21243,1.57512,2.10838,1.66927,0.000959989,0.000959989,0.000959989
4,530.674,1.17701,1.79295,1.49972,0.51279,0.39646,0.39789,0.25867,1.5038,1.94463,1.59193,0.0009406,0.0009406,0.0009406
5,660.175,1.11076,1.68386,1.4546,0.52292,0.36647,0.38268,0.25164,1.45711,1.95583,1.56617,0.0009208,0.0009208,0.0009208
6,790.153,1.07479,1.58919,1.42121,0.5402,0.39844,0.41455,0.28076,1.42214,1.86644,1.51551,0.000901,0.000901,0.000901
7,919.894,1.05448,1.51956,1.39851,0.5882,0.42968,0.46252,0.31773,1.36298,1.69206,1.45534,0.0008812,0.0008812,0.0008812
8,1049.55,1.01658,1.45616,1.37479,0.57549,0.45805,0.48018,0.32616,1.36862,1.63515,1.45588,0.0008614,0.0008614,0.0008614
9,1179.1,0.98426,1.40041,1.35115,0.58566,0.43939,0.46891,0.32506,1.35429,1.68566,1.44815,0.0008416,0.0008416,0.0008416
10,1308.89,0.96612,1.35674,1.3321,0.59914,0.4615,0.49723,0.3467,1.32428,1.59754,1.40758,0.0008218,0.0008218,0.0008218
11,1438.5,0.95609,1.30286,1.32447,0.60536,0.4647,0.4939,0.34173,1.32364,1.58952,1.41647,0.000802,0.000802,0.000802
12,1568.27,0.93773,1.2655,1.30861,0.62585,0.46815,0.50512,0.35199,1.30601,1.57591,1.39712,0.0007822,0.0007822,0.0007822
13,1697.88,0.92257,1.23208,1.29697,0.61968,0.46906,0.50655,0.3543,1.30019,1.54867,1.40594,0.0007624,0.0007624,0.0007624
14,1827.36,0.91322,1.20542,1.29314,0.62792,0.49885,0.53563,0.3751,1.27711,1.51749,1.37522,0.0007426,0.0007426,0.0007426
15,1956.71,0.90166,1.1639,1.2749,0.6528,0.48824,0.53552,0.37871,1.27253,1.48252,1.37102,0.0007228,0.0007228,0.0007228
16,2085.98,0.89125,1.13658,1.26867,0.65522,0.50047,0.55542,0.39321,1.25331,1.42847,1.35819,0.000703,0.000703,0.000703
17,2215.63,0.88838,1.13193,1.26256,0.63657,0.50014,0.55287,0.39508,1.23882,1.42315,1.34751,0.0006832,0.0006832,0.0006832
18,2345.28,0.87229,1.09577,1.25418,0.65948,0.50089,0.5606,0.39848,1.25674,1.40263,1.35567,0.0006634,0.0006634,0.0006634
19,2474.71,0.86381,1.07129,1.24787,0.67593,0.5119,0.57262,0.40892,1.24307,1.40529,1.34563,0.0006436,0.0006436,0.0006436
20,2604.3,0.857,1.05297,1.23793,0.6648,0.52764,0.58575,0.41929,1.22924,1.38553,1.33433,0.0006238,0.0006238,0.0006238
21,2733.69,0.84843,1.03402,1.23236,0.6966,0.49622,0.57977,0.41903,1.22028,1.36001,1.31063,0.000604,0.000604,0.000604
22,2863.04,0.84208,1.00605,1.22017,0.65008,0.52843,0.56926,0.40739,1.22754,1.40567,1.33843,0.0005842,0.0005842,0.0005842
23,2992.4,0.83485,0.98494,1.21713,0.68968,0.52574,0.59211,0.42835,1.21247,1.35891,1.32305,0.0005644,0.0005644,0.0005644
24,3122,0.82782,0.9762,1.20987,0.70983,0.52336,0.59008,0.42765,1.21129,1.35874,1.30745,0.0005446,0.0005446,0.0005446
25,3251.3,0.81582,0.94344,1.20282,0.67428,0.54368,0.59986,0.43668,1.20419,1.34121,1.3064,0.0005248,0.0005248,0.0005248
26,3380.76,0.81471,0.94439,1.20065,0.67828,0.55382,0.60206,0.43852,1.20274,1.30896,1.30888,0.000505,0.000505,0.000505
27,3511.35,0.7964,0.90125,1.187,0.67572,0.55707,0.60872,0.4436,1.20422,1.30758,1.30389,0.0004852,0.0004852,0.0004852
28,3641.23,0.79925,0.88852,1.185,0.71051,0.53527,0.60463,0.4434,1.19781,1.31823,1.30529,0.0004654,0.0004654,0.0004654
29,3771.54,0.79018,0.87539,1.17828,0.70322,0.53557,0.60351,0.44204,1.18795,1.32111,1.29465,0.0004456,0.0004456,0.0004456
30,3901.68,0.7793,0.85448,1.16623,0.69647,0.55635,0.60648,0.44005,1.19173,1.31566,1.3069,0.0004258,0.0004258,0.0004258
31,4031.71,0.77176,0.8505,1.1675,0.69367,0.56211,0.6164,0.44912,1.18267,1.31083,1.29393,0.000406,0.000406,0.000406
32,4161.52,0.77206,0.82642,1.16236,0.6909,0.56695,0.61836,0.45372,1.18334,1.31405,1.29575,0.0003862,0.0003862,0.0003862
33,4291.88,0.76059,0.80271,1.15639,0.70469,0.55336,0.6167,0.45152,1.18496,1.30972,1.28921,0.0003664,0.0003664,0.0003664
34,4422.47,0.75718,0.79791,1.14701,0.71319,0.55792,0.62451,0.4571,1.18163,1.29463,1.2857,0.0003466,0.0003466,0.0003466
35,4552.96,0.74376,0.77528,1.14279,0.70013,0.56847,0.62109,0.45882,1.18075,1.31194,1.28258,0.0003268,0.0003268,0.0003268
36,4682.76,0.74071,0.76628,1.14287,0.70222,0.56975,0.6242,0.46168,1.17247,1.28842,1.27998,0.000307,0.000307,0.000307
37,4812.21,0.73946,0.75316,1.14001,0.70052,0.571,0.62394,0.46009,1.17541,1.29621,1.28369,0.0002872,0.0002872,0.0002872
38,4941.5,0.73014,0.73796,1.13092,0.72122,0.56583,0.62802,0.46371,1.17012,1.29033,1.28122,0.0002674,0.0002674,0.0002674
39,5070.54,0.72094,0.71415,1.12196,0.73757,0.56015,0.62978,0.46427,1.17655,1.29475,1.28016,0.0002476,0.0002476,0.0002476
40,5199.87,0.72114,0.71369,1.12076,0.69511,0.58914,0.63156,0.46842,1.17229,1.2826,1.27856,0.0002278,0.0002278,0.0002278
41,5330.7,0.67988,0.63162,1.09072,0.70208,0.58123,0.631,0.46711,1.17868,1.29568,1.28536,0.000208,0.000208,0.000208
42,5459.64,0.67466,0.60723,1.08568,0.7114,0.57896,0.63421,0.47026,1.17519,1.30586,1.28583,0.0001882,0.0001882,0.0001882
43,5589.32,0.66806,0.59285,1.08005,0.71452,0.58221,0.63273,0.46972,1.17718,1.29751,1.28175,0.0001684,0.0001684,0.0001684
44,5720.45,0.65817,0.57803,1.07096,0.72871,0.57632,0.63411,0.46906,1.17363,1.30946,1.28008,0.0001486,0.0001486,0.0001486
45,5850,0.65686,0.56578,1.06572,0.73198,0.57518,0.63529,0.47048,1.17304,1.31052,1.27984,0.0001288,0.0001288,0.0001288
46,5980.08,0.64742,0.54872,1.06137,0.71546,0.58305,0.63397,0.4702,1.17413,1.32068,1.28124,0.000109,0.000109,0.000109
47,6111.13,0.6427,0.54627,1.06304,0.7241,0.58172,0.63126,0.46803,1.17555,1.32694,1.28319,8.92e-05,8.92e-05,8.92e-05
48,6241.16,0.63644,0.53016,1.05735,0.7326,0.57396,0.6313,0.46792,1.17694,1.32308,1.285,6.94e-05,6.94e-05,6.94e-05
49,6370.99,0.63059,0.5229,1.05095,0.71423,0.58323,0.62899,0.46766,1.1775,1.32969,1.28677,4.96e-05,4.96e-05,4.96e-05
50,6500.74,0.63037,0.51676,1.04879,0.70928,0.58508,0.62859,0.46654,1.17984,1.33768,1.28815,2.98e-05,2.98e-05,2.98e-05
